CustomerID;Value;Frequency;Recency;Country
12762;123.36;1;7;Other
12763;87;1;138;Other
12764;165.65;1;316;Other
12766;783.63;7;3;Other
12769;144.75;1;238;Other
12772;140.45;1;59;Other
12775;74.63;3;17;Other
12778;72.84;3;63;Other
12779;496.39;6;37;Other
12781;102.6;2;63;Other
12782;183.36;5;4;Other
12783;-88.34;5;2;Other
12784;40.5;1;15;Other
12785;12.5;1;364;Other
12787;49.8;2;91;Other
12790;97.92;1;192;Other
12791;15;1;373;Other
12792;72.9;1;256;Other
12793;104.6;2;334;Other
12794;105.48;2;53;Other
12795;77.95;1;18;Other
12797;30;1;365;Other
12798;414.72;1;170;Other
12802;48.7;1;186;Other
12808;40.3;2;36;Other
12811;143.1;3;260;Other
12812;34.5;1;44;Other
12815;105.6;2;147;Other
12816;25.05;2;95;Other
12817;139;1;281;Other
12818;77.5;1;261;Other
12820;113.8;4;3;United Kingdom
12821;10.2;1;214;United Kingdom
12822;25.2;1;70;United Kingdom
12823;459;1;254;United Kingdom
12824;10.2;1;59;United Kingdom
12826;174.5;5;71;United Kingdom
12827;89.31;2;32;United Kingdom
12828;52.95;3;65;United Kingdom
12829;13.5;1;336;United Kingdom
12830;780.48;2;37;United Kingdom
12831;50.95;1;262;United Kingdom
12832;17.85;1;32;United Kingdom
12833;16.35;1;145;United Kingdom
12834;72.3;1;282;United Kingdom
12836;340.28;4;59;United Kingdom
12837;17;1;173;United Kingdom
12838;100.83;2;33;United Kingdom
12839;401.95;11;2;United Kingdom
12840;341.3;4;143;United Kingdom
12841;247.39;20;4;United Kingdom
12842;165.78;2;70;United Kingdom
12843;101.4;6;159;United Kingdom
12844;9.77;2;29;United Kingdom
12845;215;3;268;United Kingdom
12847;85.29;1;22;United Kingdom
12849;50.45;2;31;United Kingdom
12851;11.9;1;96;United Kingdom
12852;58.05;1;294;United Kingdom
12853;155.78;4;134;United Kingdom
12854;223.6;4;78;United Kingdom
12855;10.2;1;372;United Kingdom
12856;282.68;6;7;United Kingdom
12857;139.25;2;210;United Kingdom
12863;59.4;1;52;United Kingdom
12865;188.32;2;26;Other
12866;37.5;1;283;Other
12867;469.32;8;26;United Kingdom
12868;256.96;6;185;United Kingdom
12872;60.75;2;326;United Kingdom
12875;293.76;1;362;United Kingdom
12876;151.06;2;57;Other
12877;206.7;7;24;United Kingdom
12878;87.6;2;236;United Kingdom
12879;52.11;3;44;United Kingdom
12881;36.8;1;275;United Kingdom
12882;145.8;1;33;United Kingdom
12883;81.19;3;24;United Kingdom
12885;180.65;2;63;United Kingdom
12886;162.68;2;67;United Kingdom
12888;25.2;1;255;United Kingdom
12890;42.02;1;24;United Kingdom
12893;20.88;1;30;United Kingdom
12895;32.4;1;86;United Kingdom
12897;87.7;2;204;United Kingdom
12901;1866.72;12;43;United Kingdom
12904;45.56;2;18;United Kingdom
12906;195.81;3;11;United Kingdom
12909;102.54;6;39;United Kingdom
12910;351.36;5;23;United Kingdom
12912;309.96;2;8;United Kingdom
12913;183.42;3;15;United Kingdom
12915;26.3;2;148;United Kingdom
12916;199.1;4;138;United Kingdom
12919;92.34;4;16;United Kingdom
12920;0.75;1;17;United Kingdom
12921;2245.39;33;9;United Kingdom
12922;21.84;1;161;United Kingdom
12923;4.58;1;64;United Kingdom
12924;0.83;1;88;United Kingdom
12925;95.28;2;4;United Kingdom
12928;104.3;3;35;United Kingdom
12929;17;1;311;United Kingdom
12930;11.8;3;78;United Kingdom
12931;4369.42;6;30;United Kingdom
12933;55.42;3;24;United Kingdom
12935;207.37;6;2;United Kingdom
12936;167.11;2;17;United Kingdom
12937;152.56;3;15;United Kingdom
12939;1445;4;79;United Kingdom
12940;89.62;2;54;United Kingdom
12942;113.29;3;131;United Kingdom
12944;128;2;35;United Kingdom
12945;17;1;288;United Kingdom
12947;159.59;5;143;United Kingdom
12948;208.73;4;59;United Kingdom
12949;370.9;5;30;United Kingdom
12950;179;1;8;United Kingdom
12951;113.5;4;8;United Kingdom
12952;51.63;4;5;United Kingdom
12953;41.5;1;9;United Kingdom
12955;621.75;11;1;United Kingdom
12956;28.35;1;306;United Kingdom
12957;365.76;6;9;United Kingdom
12962;35.4;1;7;United Kingdom
12963;157.95;6;8;United Kingdom
12965;82.31;1;89;United Kingdom
12966;35.6;1;9;United Kingdom
12967;147.8;3;3;United Kingdom
12970;47.16;2;7;United Kingdom
12971;975.25;34;3;United Kingdom
12976;26.1;1;211;United Kingdom
12980;1117.26;2;176;United Kingdom
12981;17.4;1;133;United Kingdom
12982;25.2;1;242;United Kingdom
12985;185.58;2;0;United Kingdom
12987;95.4;2;73;United Kingdom
12988;50.9;1;292;United Kingdom
12989;1946.14;7;3;United Kingdom
12990;41.6;1;185;United Kingdom
12991;5.04;1;112;United Kingdom
12993;78.6;2;120;United Kingdom
12994;92.6;5;4;United Kingdom
12997;318.82;3;22;United Kingdom
12999;16.74;2;205;United Kingdom
13000;43.1;1;259;United Kingdom
13001;856.6;13;4;United Kingdom
13002;9.95;1;318;United Kingdom
13004;619.82;15;11;United Kingdom
13005;29.8;1;246;United Kingdom
13008;13.92;1;323;United Kingdom
13012;132.05;5;78;United Kingdom
13013;527.79;12;1;United Kingdom
13014;372.93;11;10;United Kingdom
13015;314.42;5;53;United Kingdom
13016;39.96;3;73;United Kingdom
13018;932.16;22;16;United Kingdom
13021;392.72;8;4;United Kingdom
13023;161.73;2;64;United Kingdom
13026;13.8;1;1;United Kingdom
13027;960;2;113;United Kingdom
13028;36.19;2;22;United Kingdom
13030;96.26;2;11;United Kingdom
13032;81.56;2;52;United Kingdom
13033;37.35;1;357;United Kingdom
13034;69.66;2;54;United Kingdom
13035;50.13;3;57;United Kingdom
13037;143.87;3;138;United Kingdom
13038;39.6;2;183;United Kingdom
13040;111.2;2;8;United Kingdom
13044;22.4;1;291;United Kingdom
13045;115.6;1;99;United Kingdom
13046;17.4;1;30;United Kingdom
13047;217.65;7;127;United Kingdom
13048;133.25;4;14;United Kingdom
13049;76.2;2;64;United Kingdom
13050;548.21;15;14;United Kingdom
13052;49.1;1;212;United Kingdom
13055;118.3;2;78;United Kingdom
13058;9.95;1;24;United Kingdom
13059;25.6;1;249;United Kingdom
13060;150.18;1;253;United Kingdom
13061;16.5;1;72;United Kingdom
13062;19.8;1;191;United Kingdom
13064;108.3;4;12;United Kingdom
13065;17.7;1;373;United Kingdom
13066;29.56;2;24;United Kingdom
13067;17.4;1;82;United Kingdom
13069;405.46;18;0;United Kingdom
13070;41.6;1;192;United Kingdom
13072;35.4;1;266;United Kingdom
13075;116.85;1;129;United Kingdom
13077;51.82;3;1;United Kingdom
13078;1115.4;24;3;United Kingdom
13079;35.4;2;21;United Kingdom
13081;4433.01;12;11;United Kingdom
13082;101.7;5;126;United Kingdom
13083;52.04;1;75;United Kingdom
13085;52.4;2;157;United Kingdom
13089;5944.61;64;2;United Kingdom
13090;959.33;7;31;United Kingdom
13091;35.88;1;28;United Kingdom
13092;27.21;2;70;United Kingdom
13093;522.01;6;275;United Kingdom
13095;23.28;1;70;United Kingdom
13097;674.84;12;32;United Kingdom
13098;3851.96;24;1;United Kingdom
13101;16.8;1;234;United Kingdom
13102;437.82;18;1;United Kingdom
13103;27.04;1;39;United Kingdom
13104;19.8;1;46;United Kingdom
13106;76.5;1;133;United Kingdom
13107;19.8;1;175;United Kingdom
13109;119.48;2;59;United Kingdom
13110;159.04;6;31;United Kingdom
13113;1186.88;15;40;United Kingdom
13115;251.2;3;11;United Kingdom
13116;99.2;1;138;United Kingdom
13117;21.54;2;238;United Kingdom
13118;163.1;6;19;United Kingdom
13121;37.98;2;269;United Kingdom
13122;66.6;1;240;United Kingdom
13124;316.82;3;89;United Kingdom
13126;144.86;6;44;United Kingdom
13127;10.2;1;77;United Kingdom
13130;25;1;94;United Kingdom
13131;118.6;2;23;United Kingdom
13132;17;1;261;United Kingdom
13133;29.75;2;273;United Kingdom
13134;268.78;4;72;United Kingdom
13136;290.02;5;50;United Kingdom
13137;422.3;8;10;United Kingdom
13138;94.5;4;46;United Kingdom
13139;553.43;4;32;United Kingdom
13140;51.15;3;108;United Kingdom
13141;330.46;5;84;United Kingdom
13142;2.95;1;19;United Kingdom
13144;23.6;1;332;United Kingdom
13145;118.8;1;39;United Kingdom
13147;118.8;1;43;United Kingdom
13148;388.25;11;29;United Kingdom
13149;269.66;4;14;United Kingdom
13151;99.35;2;203;United Kingdom
13153;35.4;1;5;United Kingdom
13155;117.14;3;79;United Kingdom
13157;231.36;4;49;United Kingdom
13158;128.6;4;94;United Kingdom
13159;181.5;3;50;United Kingdom
13160;15;1;22;United Kingdom
13161;42.3;1;313;United Kingdom
13162;310.2;3;122;United Kingdom
13165;133.68;2;46;United Kingdom
13166;27.05;1;283;United Kingdom
13167;125.77;4;18;United Kingdom
13168;78.15;3;36;United Kingdom
13170;10.4;1;26;United Kingdom
13171;71.89;2;49;United Kingdom
13173;51.92;2;4;United Kingdom
13174;260.76;3;16;United Kingdom
13176;15.35;1;46;United Kingdom
13177;42.6;1;64;United Kingdom
13178;760.85;10;35;United Kingdom
13183;726.94;8;7;United Kingdom
13184;151.31;7;14;United Kingdom
13186;136.4;4;39;United Kingdom
13187;29.44;1;337;United Kingdom
13189;38.4;2;18;United Kingdom
13192;98.51;2;95;United Kingdom
13193;17.55;1;61;United Kingdom
13196;138.2;3;11;United Kingdom
13198;382.67;5;10;United Kingdom
13199;878.96;9;7;United Kingdom
13200;71.75;3;21;United Kingdom
13203;89.49;4;9;United Kingdom
13208;184.46;7;58;United Kingdom
13209;522.61;7;30;United Kingdom
13210;25.5;1;93;United Kingdom
13211;147.01;3;10;United Kingdom
13212;78.25;3;9;United Kingdom
13213;215.1;4;56;United Kingdom
13216;69.12;1;267;United Kingdom
13221;96.9;2;240;United Kingdom
13224;104.73;2;60;United Kingdom
13225;1404.68;6;3;United Kingdom
13226;13.85;1;273;United Kingdom
13229;33.6;1;225;United Kingdom
13230;263.44;13;4;United Kingdom
13232;168.78;6;26;United Kingdom
13233;54.24;2;74;United Kingdom
13235;63.64;1;212;United Kingdom
13236;57.26;2;24;United Kingdom
13238;187.2;3;17;United Kingdom
13239;24.98;1;261;United Kingdom
13240;147.4;4;96;United Kingdom
13243;83.36;1;203;United Kingdom
13244;21.84;1;92;United Kingdom
13245;75.75;1;50;United Kingdom
13246;67.56;5;18;United Kingdom
13247;10.2;1;82;United Kingdom
13248;30.45;2;124;United Kingdom
13253;110.52;2;156;United Kingdom
13255;17.7;1;373;United Kingdom
13258;73.67;2;23;United Kingdom
13259;34.54;1;61;United Kingdom
13260;219;1;61;United Kingdom
13262;17.7;1;263;United Kingdom
13263;745.07;32;1;United Kingdom
13265;122.58;4;53;United Kingdom
13266;623.27;13;11;United Kingdom
13267;597.99;15;2;United Kingdom
13268;349.96;9;17;United Kingdom
13269;656.78;13;1;United Kingdom
13271;18.05;1;37;United Kingdom
13272;14.85;1;89;United Kingdom
13276;42.75;2;63;United Kingdom
13277;49.5;1;25;United Kingdom
13278;76.41;1;40;United Kingdom
13279;12.5;1;78;United Kingdom
13280;50;3;122;United Kingdom
13282;40.56;2;18;United Kingdom
13284;68.45;1;330;United Kingdom
13285;248.6;3;23;United Kingdom
13291;30.93;1;155;United Kingdom
13292;19.8;1;284;United Kingdom
13294;77.65;2;189;United Kingdom
13297;197.6;2;23;United Kingdom
13299;17.7;1;268;United Kingdom
13300;54.19;2;164;United Kingdom
13301;81.65;4;103;United Kingdom
13304;34.35;1;351;United Kingdom
13305;213;6;21;United Kingdom
13308;155.58;3;22;United Kingdom
13309;42.2;3;88;United Kingdom
13310;129.94;4;28;United Kingdom
13311;194.79;1;150;United Kingdom
13313;201.54;4;22;United Kingdom
13314;68.11;4;1;United Kingdom
13316;770.66;4;37;United Kingdom
13317;228.28;5;66;United Kingdom
13318;56.76;2;1;United Kingdom
13319;983.24;20;17;United Kingdom
13320;145.68;5;78;United Kingdom
13321;17.7;1;86;United Kingdom
13322;2.89;1;17;United Kingdom
13323;17;1;3;United Kingdom
13324;928.32;6;89;United Kingdom
13327;258;5;38;United Kingdom
13328;254.88;1;316;United Kingdom
13330;180.96;3;92;United Kingdom
13334;315.06;3;82;United Kingdom
13336;130.98;1;77;United Kingdom
13338;145.8;1;157;United Kingdom
13339;132.91;1;200;United Kingdom
13340;809;6;45;United Kingdom
13341;192.8;1;260;United Kingdom
13343;40.6;1;177;United Kingdom
13344;240.25;2;67;United Kingdom
13345;-11.9;1;276;United Kingdom
13348;11.4;1;64;United Kingdom
13349;9.96;1;10;United Kingdom
13350;254.75;3;16;United Kingdom
13352;60.3;1;60;United Kingdom
13354;10.2;1;71;United Kingdom
13355;146.2;1;122;United Kingdom
13356;73.89;1;80;United Kingdom
13357;78.86;1;257;United Kingdom
13358;63.9;1;268;United Kingdom
13359;31.5;1;63;United Kingdom
13362;342.75;4;9;United Kingdom
13363;30.93;2;17;United Kingdom
13364;0;2;66;United Kingdom
13365;201.5;3;8;United Kingdom
13368;110.22;2;256;United Kingdom
13369;15.6;1;365;United Kingdom
13370;64.25;2;366;United Kingdom
13372;6.96;1;89;United Kingdom
13373;367.53;3;60;United Kingdom
13375;28.9;1;88;United Kingdom
13376;62.05;3;99;United Kingdom
13379;65.92;3;26;United Kingdom
13381;423.58;7;21;United Kingdom
13382;15.9;1;280;United Kingdom
13384;405.43;8;30;United Kingdom
13385;71.04;1;329;United Kingdom
13388;30.45;1;131;United Kingdom
13389;51.4;2;74;United Kingdom
13390;63;1;74;United Kingdom
13394;260.54;7;1;United Kingdom
13395;11.5;1;185;United Kingdom
13396;235.95;2;29;United Kingdom
13397;256.6;1;183;United Kingdom
13398;31.85;1;192;United Kingdom
13402;59.34;2;127;United Kingdom
13404;15;1;212;United Kingdom
13405;71.1;2;204;United Kingdom
13408;4187.16;36;1;United Kingdom
13410;226.75;4;24;United Kingdom
13411;24.3;1;107;United Kingdom
13414;83.7;2;133;United Kingdom
13416;49.5;2;43;United Kingdom
13417;131.78;2;4;United Kingdom
13418;470.72;15;11;United Kingdom
13421;354.82;2;40;United Kingdom
13422;345.46;1;64;United Kingdom
13425;137.47;3;108;United Kingdom
13426;389.78;9;0;United Kingdom
13427;45;2;19;United Kingdom
13428;15.65;1;10;United Kingdom
13429;153.82;4;10;United Kingdom
13430;81.48;2;18;United Kingdom
13431;146.78;2;67;United Kingdom
13434;177.6;1;74;United Kingdom
13435;202.55;7;5;United Kingdom
13436;17.34;1;1;United Kingdom
13437;286.26;5;31;United Kingdom
13439;23.3;1;255;United Kingdom
13447;139.24;4;23;United Kingdom
13448;374.54;6;16;United Kingdom
13449;24.84;1;23;United Kingdom
13450;506.52;6;26;United Kingdom
13451;200.94;6;26;United Kingdom
13453;15;1;289;United Kingdom
13455;102.3;2;24;United Kingdom
13456;40.64;2;17;United Kingdom
13458;1049.46;13;7;United Kingdom
13461;60.4;2;38;United Kingdom
13462;44.4;1;252;United Kingdom
13464;92.34;1;58;United Kingdom
13466;35.4;1;184;United Kingdom
13467;269.29;2;10;United Kingdom
13468;654.99;20;7;United Kingdom
13471;188.49;3;5;United Kingdom
13473;18.48;1;332;United Kingdom
13474;16;1;236;United Kingdom
13475;173.88;3;217;United Kingdom
13476;262.4;2;178;United Kingdom
13477;190.96;4;57;United Kingdom
13479;39.6;1;200;United Kingdom
13481;202.45;3;45;United Kingdom
13482;20.28;1;232;United Kingdom
13483;20.28;1;65;United Kingdom
13485;31.49;1;233;United Kingdom
13486;121.41;3;78;United Kingdom
13487;37.5;2;57;United Kingdom
13488;1078.04;14;17;United Kingdom
13489;35.16;2;157;United Kingdom
13491;173.09;8;147;United Kingdom
13492;76.54;2;136;Other
13493;196.6;2;275;Other
13495;50.55;3;35;United Kingdom
13496;27.49;1;359;United Kingdom
13497;44.7;2;282;United Kingdom
13499;70.74;3;17;United Kingdom
13500;105.48;2;23;United Kingdom
13501;133.38;1;288;Other
13502;59.4;1;323;United Kingdom
13503;20.7;1;71;United Kingdom
13504;41.57;1;64;United Kingdom
13505;163.17;6;72;Other
13506;30.6;1;316;United Kingdom
13507;243.35;4;3;United Kingdom
13509;67.44;2;52;United Kingdom
13510;166.32;4;1;United Kingdom
13512;20.15;1;260;United Kingdom
13515;127.7;4;72;United Kingdom
13516;79.1;2;72;United Kingdom
13517;171.59;4;59;United Kingdom
13518;53.2;1;85;United Kingdom
13519;27.7;1;78;United Kingdom
13520;436.6;5;58;Other
13521;149.56;3;1;United Kingdom
13523;413.17;3;33;United Kingdom
13524;28.44;1;40;United Kingdom
13527;323.52;6;33;United Kingdom
13531;162.4;2;205;United Kingdom
13532;8.62;1;33;United Kingdom
13533;26.96;3;182;United Kingdom
13534;680;19;2;United Kingdom
13536;386.71;7;1;United Kingdom
13538;295.8;5;43;United Kingdom
13539;87.28;3;85;United Kingdom
13544;22.43;2;39;United Kingdom
13546;42.55;3;12;United Kingdom
13548;121.88;2;96;United Kingdom
13549;121.2;4;25;United Kingdom
13552;526.55;11;66;United Kingdom
13555;360.38;4;73;United Kingdom
13557;36.6;1;28;United Kingdom
13558;110.24;4;5;United Kingdom
13560;13.15;1;7;United Kingdom
13561;9.83;1;215;United Kingdom
13562;197.7;3;81;United Kingdom
13563;32.43;2;84;United Kingdom
13564;-901.58;4;144;United Kingdom
13566;165.08;2;40;United Kingdom
13568;47.25;1;173;United Kingdom
13569;35.58;2;17;United Kingdom
13570;19.83;1;243;United Kingdom
13571;166.62;11;12;United Kingdom
13572;80.4;1;205;United Kingdom
13573;37.5;2;50;United Kingdom
13575;60;3;23;United Kingdom
13576;527.15;10;10;United Kingdom
13577;153.9;4;25;United Kingdom
13583;61.65;1;155;United Kingdom
13584;30.05;1;306;United Kingdom
13587;19.8;1;63;United Kingdom
13588;357.34;8;15;United Kingdom
13589;88.15;2;14;United Kingdom
13590;187.2;4;51;United Kingdom
13591;133.69;3;64;United Kingdom
13592;47.52;3;35;United Kingdom
13593;237.15;4;108;United Kingdom
13594;33;1;52;United Kingdom
13596;75.11;2;5;United Kingdom
13598;10.55;1;47;United Kingdom
13599;586.37;16;8;United Kingdom
13600;44.7;1;312;United Kingdom
13601;105.24;2;45;United Kingdom
13602;52.56;1;64;United Kingdom
13603;22.79;1;26;United Kingdom
13606;11.7;1;243;United Kingdom
13607;79.8;1;40;United Kingdom
13610;117.96;8;12;United Kingdom
13611;104.03;4;89;United Kingdom
13614;188.98;3;24;United Kingdom
13615;22.5;1;318;United Kingdom
13617;78.34;3;40;United Kingdom
13618;43.6;1;173;United Kingdom
13621;4;1;116;United Kingdom
13623;37.08;4;210;United Kingdom
13626;27.6;1;252;United Kingdom
13627;137.54;4;79;United Kingdom
13629;804.53;5;99;United Kingdom
13630;366.15;6;75;United Kingdom
13632;228.65;5;24;United Kingdom
13634;118.58;5;33;United Kingdom
13635;108.35;1;67;United Kingdom
13636;58.48;3;36;United Kingdom
13637;99;2;187;United Kingdom
13639;59.46;1;74;United Kingdom
13642;51.9;1;215;United Kingdom
13643;10.5;1;31;United Kingdom
13644;271.56;3;16;United Kingdom
13645;30.6;1;120;United Kingdom
13647;207.8;3;9;United Kingdom
